期間,2024/09/01,-,2024/09/30,,,,,,,,,,,,,,,,,,,,,,
端末番号,名称,0時,1時,2時,3時,4時,5時,6時,7時,8時,9時,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時
D588B-T,プレハブ2F富士通富士通開発室,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
KGXDT006,プレハブ2F富士通富士通開発室,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
KGXDT022,プレハブ2F富士通富士通開発室,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,0,0,0,0
KGXDT029,プレハブ2F富士通富士通開発室,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,0,0,0
KGXDT032,プレハブ2F富士通富士通開発室,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0
KGXDT034,プレハブ2F富士通富士通開発室,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0
KHDT0001,病棟3F治験管理室臨床研究コーディネーター室,0,0,0,0,0,0,0,1,18,18,18,15,14,14,12,12,13,11,3,0,0,0,0,0
KHDT0002,病棟3F治験管理室臨床研究コーディネーター室,0,0,0,0,0,0,0,0,3,8,6,9,6,6,8,7,5,3,1,0,0,0,0,0
KHDT0003,病棟3F治験管理室臨床研究コーディネーター室,0,0,0,0,0,0,0,0,6,11,15,16,14,14,12,8,7,2,1,0,0,0,0,0
KHDT0004,病棟3F治験管理室臨床研究コーディネーター室,1,1,1,1,1,1,1,2,11,14,17,15,15,14,12,12,5,4,2,4,7,3,1,1
KHDT0005,病棟3F治験管理室臨床研究コーディネーター室,0,0,0,0,0,0,0,12,18,16,19,16,12,11,13,18,18,13,6,1,0,0,0,0
KHDT0006,病棟4F医事課医事課別室,0,0,0,0,0,0,0,0,10,17,15,10,8,8,11,16,10,9,2,2,0,0,0,0
KHDT0007,NEXT棟1F内視鏡部X-TV室(2)外,0,0,0,0,0,0,6,17,17,22,20,18,19,17,19,18,16,17,11,7,6,5,3,4
KHDT0008,NEXT棟1F内視鏡部医師控室,2,3,3,2,1,1,1,19,17,7,7,15,21,9,7,14,18,19,19,14,14,10,8,5
KHDT0009,NEXT棟1F内視鏡部X-TV室(1)外,2,2,2,2,2,2,2,2,4,7,3,9,8,6,12,14,9,4,4,5,5,3,2,2
KHDT0010,NEXT棟1F内視鏡部X-TV室(1),4,4,4,4,4,4,4,4,13,14,15,16,8,3,10,11,8,5,4,4,4,4,4,4
KHDT0011,NEXT棟1F内視鏡部カンファレンス室,0,0,0,0,0,0,4,17,14,8,12,16,18,10,8,5,13,21,18,16,11,9,3,2
KHDT0012,NEXT棟1F内視鏡部検査室(7),1,1,1,1,1,1,2,3,5,12,6,4,2,4,4,4,4,2,2,2,2,1,1,1
KHDT0013,NEXT棟1F内視鏡部X-TV室(3)外,0,0,0,0,0,4,20,20,21,21,20,21,19,20,20,15,19,17,18,18,16,10,4,0
KHDT0014,NEXT棟1F内視鏡部X-TV室(4)外,0,1,0,0,0,0,0,1,10,15,17,18,19,16,19,18,18,19,14,8,4,1,0,0
KHDT0015,NEXT棟1F内視鏡部検査室(1),2,2,2,2,2,2,2,2,18,18,18,17,18,18,16,14,14,2,2,3,2,1,3,4
KHDT0016,NEXT棟1F内視鏡部検査室(2),1,1,1,1,1,1,1,2,12,13,14,15,10,14,14,12,12,5,4,2,2,2,2,1
KHDT0017,NEXT棟1F内視鏡部検査室(3),2,2,2,2,2,2,2,2,15,17,17,17,16,17,17,17,12,3,2,3,5,4,3,2
KHDT0018,NEXT棟1F内視鏡部検査室(5),1,1,1,1,1,1,1,1,18,18,18,17,17,6,7,7,7,7,2,2,2,5,4,1
KHDT0019,NEXT棟1F内視鏡部受付,2,2,2,2,2,2,2,2,15,15,14,14,14,15,13,14,11,10,2,2,2,2,2,2
KHDT0020,NEXT棟1F内視鏡部受付,3,3,3,3,3,3,3,3,16,16,15,16,14,12,13,13,12,12,3,3,3,3,3,3
KHDT0021,NEXT棟1F内視鏡部面談室(1),0,0,0,0,0,0,0,3,13,17,19,17,16,15,12,13,10,2,0,0,0,0,0,0
KHDT0022,NEXT棟1F内視鏡部診察室(1),0,0,0,0,0,0,0,0,1,7,11,13,13,18,14,14,9,1,0,0,0,0,0,0
KHDT0023,NEXT棟4F看護部（手術）スタッフステーション,1,1,1,1,1,1,1,1,18,18,18,18,18,18,18,18,18,18,8,1,1,1,1,1
KHDT0024,NEXT棟4F麻酔科スタッフステーション,1,1,1,1,1,1,1,1,18,18,16,17,17,17,14,15,14,15,9,1,1,1,1,1
KHDT0025,病棟9FリハビリセンターST室,0,0,0,0,0,0,0,0,19,17,17,18,18,15,16,16,13,13,6,2,0,1,0,0
KHDT0026,NEXT棟4F看護部（手術）スタッフステーション,3,2,2,2,2,2,2,2,13,17,17,14,16,17,17,17,17,17,12,7,4,3,3,2
KHDT0027,NEXT棟4F看護部（手術）スタッフステーション,2,1,1,1,1,1,1,1,6,12,17,13,15,13,14,16,17,16,9,6,2,1,1,2
KHDT0028,NEXT棟4F手術室麻酔医室,0,0,0,0,0,0,4,15,18,13,16,13,14,18,19,19,16,14,7,5,3,0,0,0
KHDT0029,NEXT棟4F手術室大型器材庫,4,4,4,4,4,4,4,4,6,5,7,6,8,9,8,8,9,8,5,5,4,5,4,4
KHDT0030,NEXT棟4F薬剤部薬剤庫,4,5,5,4,4,4,4,5,5,7,13,13,14,14,14,14,14,14,2,7,6,5,4,4
KHDT0031,NEXT棟3FICUカンファレンス室奥,1,1,1,0,0,0,1,10,16,4,3,2,5,4,6,7,12,7,2,1,0,1,1,1
KHDT0032,NEXT棟3F看護部（ICU)ICUスタッフステーション,5,4,9,11,7,8,7,28,30,30,25,25,25,27,28,29,30,29,22,19,17,20,14,23
KHDT0033,NEXT棟3F看護部（ICU)ICUスタッフステーション,6,4,1,0,2,2,1,23,29,28,21,20,21,20,24,27,29,24,20,14,11,5,6,8
KHDT0034,NEXT棟4F看護部（手術）スタッフステーション,1,1,1,1,1,1,1,1,12,17,16,13,16,17,15,16,18,17,8,7,4,3,2,1
KHDT0035,NEXT棟3FICUカンファレンス室手前,0,0,0,0,0,0,0,1,19,2,1,0,0,0,1,3,8,4,0,0,0,0,0,0
KHDT0036,NEXT棟4F麻酔科麻酔医室,0,0,0,0,0,0,5,8,15,9,13,12,11,16,19,17,18,15,11,3,0,0,0,0
KHDT0037,病棟4F看護部（4B病棟）4B病棟ﾅｰｽｽﾃｰｼｮﾝ,4,6,3,5,3,3,2,19,27,28,23,19,21,20,18,25,25,26,16,8,4,4,3,8
KHDT0038,病棟4F看護部（4B病棟）4B病棟ﾅｰｽｽﾃｰｼｮﾝ,6,6,6,3,2,5,2,19,27,27,22,21,17,19,19,20,23,23,17,10,4,6,4,5
KHDT0039,病棟4F看護部（4B病棟）4B病棟ﾅｰｽｽﾃｰｼｮﾝ,5,4,4,4,2,2,2,24,25,25,24,21,22,21,19,25,26,25,23,20,12,7,6,4
KHDT0040,病棟4F看護部（4B病棟）4B病棟ﾅｰｽｽﾃｰｼｮﾝ,1,1,1,0,0,0,0,22,29,28,23,20,16,15,16,28,29,24,19,15,6,4,2,1
KHDT0041,病棟4F看護部（4B病棟）4B病棟ﾅｰｽｽﾃｰｼｮﾝ,1,1,1,1,1,1,2,16,22,23,17,13,4,8,7,15,18,18,10,3,2,1,1,1
KHDT0042,病棟4F看護部（4B病棟）4B病棟ﾅｰｽｽﾃｰｼｮﾝ(中央参照可),0,0,3,1,0,0,0,19,28,30,22,21,17,14,18,28,28,25,17,8,3,1,2,0
KHDT0043,病棟5F看護部（5A病棟）5A病棟ﾅｰｽｽﾃｰｼｮﾝ,8,8,3,9,7,3,0,2,28,28,20,20,14,14,15,29,29,28,18,12,12,3,4,14
