端末番号,名称,0時,1時,2時,3時,4時,5時,6時,7時,8時,9時,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時
端末番号,設置場所,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A7510D-T,プレハブ2F富士通富士通開発室,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D588B-T,プレハブ2F富士通富士通開発室,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMOCL,陽子線棟3Fヘルプデスクヘルプデスク,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEMOSV,陽子線棟3Fヘルプデスクヘルプデスク,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFRA-PC,プレハブ2F富士通富士通開発室,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KGXCL126,陽子線棟3Fヘルプデスクサーバ室１,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KGXDT006,プレハブ2F富士通富士通開発室,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,2,0,0,0,0
KGXDT022,プレハブ2F富士通富士通開発室,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
KGXDT029,プレハブ2F富士通富士通開発室,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,2,1,0,0
KGXDT032,プレハブ2F富士通富士通開発室,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KGXDT034,プレハブ2F富士通富士通開発室,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,4,0,0,0,0,0
KGXDT035,サーバ室3F富士通富士通データ移行用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KGXDT036,サーバ室3F富士通富士通データ移行用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KGXDT037,サーバ室3F富士通富士通データ移行用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KGXDT038,サーバ室3F富士通富士通データ移行用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KGXDT039,サーバ室3F富士通富士通データ移行用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KGXDT040,サーバ室3F富士通富士通データ移行用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KGXDT041,サーバ室3F富士通富士通データ移行用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KGXDT042,サーバ室3F富士通富士通データ移行用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KGXDT043,サーバ室3F富士通富士通データ移行用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KGXDT044,サーバ室3F富士通富士通データ移行用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KGXDT047,陽子線棟3F富士通富士通ヘルプデスク室,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHDT0001,病棟3F治験管理室臨床研究コーディネータ,0,0,0,0,0,0,0,2,15,20,33,34,27,22,19,13,10,15,9,5,1,0,0,0
KHDT0002,病棟3F治験管理室臨床研究コーディネータ,0,0,0,0,0,0,0,0,6,15,5,8,4,6,8,5,5,8,2,0,0,0,0,0
KHDT0003,病棟3F治験管理室臨床研究コーディネータ,0,0,0,0,0,0,0,0,12,40,44,58,48,40,33,29,13,5,2,3,0,0,0,0
KHDT0004,病棟3F治験管理室臨床研究コーディネータ,0,0,0,0,0,0,0,0,14,44,54,38,43,32,28,31,12,6,2,0,1,1,0,0
KHDT0005,病棟3F治験管理室臨床研究コーディネータ,0,0,0,0,0,0,0,11,40,22,36,35,22,20,22,34,22,13,3,1,0,0,0,0
KHDT0006,病棟6Fローカル支援室治験管理室分室,0,0,0,0,0,0,0,0,31,55,44,31,20,29,41,42,16,15,9,5,8,5,0,0
KHDT0007,NEXT棟1F内視鏡部X-TV室(2)外,0,1,1,0,0,0,0,1,9,12,9,10,32,28,28,44,19,7,8,5,0,0,0,0
KHDT0008,NEXT棟1F内視鏡部医師控室,0,2,2,0,0,0,1,29,7,11,14,8,18,13,4,15,22,48,33,23,20,11,0,0
KHDT0009,NEXT棟1F内視鏡部X-TV室(1)外,0,0,0,0,0,0,0,0,1,3,1,2,14,12,26,24,13,2,2,1,0,0,0,0
KHDT0010,NEXT棟1F内視鏡部X-TV室(1),0,0,0,0,0,0,0,1,2,6,0,12,17,2,5,9,13,3,0,0,0,0,0,0
KHDT0011,NEXT棟1F内視鏡部カンファレンス室,5,0,3,1,0,0,1,27,11,7,2,7,11,14,4,16,28,35,36,13,12,4,0,0
KHDT0012,NEXT棟1F内視鏡部検査室(7),0,0,0,0,0,0,0,0,2,14,11,3,4,7,4,5,1,2,1,0,0,0,0,0
KHDT0013,NEXT棟1F内視鏡部X-TV室(3)外,0,0,0,0,0,0,0,0,14,35,28,34,39,38,46,32,24,11,2,2,1,0,0,0
KHDT0014,NEXT棟1F内視鏡部X-TV室(4)外,0,0,0,0,0,0,0,0,21,31,23,26,30,32,30,26,15,17,7,4,0,2,0,0
